rider_type,hour,avg_ride_length_min
casual,0,15.18939776161164
casual,1,13.64645548245614
casual,2,18.688162516733602
casual,3,12.783979633956386
casual,4,13.124537650882079
casual,5,11.831656387403447
casual,6,9.76127820841341
casual,7,10.9011082900957
casual,8,12.401868778280543
casual,9,16.04304775378506
casual,10,21.05009148982243
casual,11,21.631795555929163
casual,12,20.25431191500185
casual,13,22.250361281393463
casual,14,21.218882042530847
casual,15,20.554734826300823
casual,16,18.436654973958333
casual,17,19.22802863994821
casual,18,17.52287312368524
casual,19,15.336768077784892
casual,20,15.017915279142109
casual,21,14.336657038475767
casual,22,13.63525187656856
casual,23,13.323024846153846
member,0,10.50542544855967
member,1,10.65773629349046
member,2,9.394187122237257
member,3,10.593554645760744
member,4,9.223704507985575
member,5,9.471599917218542
member,6,10.569279934948408
member,7,10.590751850993378
member,8,10.541320689919704
member,9,9.73473784200835
member,10,10.797620657037928
member,11,10.831925625050902
member,12,10.83629001438815
member,13,11.099737015861306
member,14,11.474913110574342
member,15,11.450044493327466
member,16,11.650561497002043
member,17,12.510338709346113
member,18,11.604391513592393
member,19,10.8985941628006
member,20,10.74153341586712
member,21,10.283334877734879
member,22,10.125446501936077
member,23,10.586690263129862
