rider_type,hour,rides
casual,0,1787
casual,1,988
casual,2,747
casual,3,428
casual,4,359
casual,5,561
casual,6,1561
casual,7,2891
casual,8,4420
casual,9,4029
casual,10,4618
casual,11,5948
casual,12,7208
casual,13,7406
casual,14,7618
casual,15,8674
casual,16,10240
casual,17,11328
casual,18,9349
casual,19,6248
casual,20,4072
casual,21,3604
casual,22,2922
casual,23,1950
member,0,2025
member,1,1188
member,2,739
member,3,574
member,4,647
member,5,2416
member,6,7430
member,7,15100
member,8,19553
member,9,12853
member,10,10801
member,11,12279
member,12,14132
member,13,13555
member,14,13662
member,15,18184
member,16,25295
member,17,29210
member,18,22157
member,19,14873
member,20,9693
member,21,7511
member,22,5079
member,23,3129
