event_id,customer_id,event_time,event_name,channel,device,session_id
E82,C100006,2024-01-03 02:23:00,signup,paid,Android,SC100006-27
E74,C100005,2024-01-06 22:14:00,app_open,referral,Android,SC100005-24
E1,C100000,2024-01-14 00:23:00,app_open,organic,Android,SC100000-0
E259,C100019,2024-01-14 04:11:00,app_open,organic,Android,SC100019-86
E190,C100014,2024-01-14 21:08:00,app_open,paid,iOS,SC100014-63
E191,C100014,2024-01-15 18:38:00,app_open,paid,Android,SC100014-63
E250,C100018,2024-01-15 23:39:00,signup,paid,iOS,SC100018-83
E410,C100029,2024-01-17 08:44:00,app_open,organic,Android,SC100029-136
E180,C100013,2024-01-17 15:17:00,pay,organic,iOS,SC100013-60
E292,C100022,2024-01-18 13:37:00,kyc_submit,organic,iOS,SC100022-97
E275,C100021,2024-01-21 07:59:00,kyc_approved,campaign,iOS,SC100021-91
E214,C100016,2024-01-22 21:27:00,app_open,organic,Android,SC100016-71
E421,C100030,2024-01-23 18:31:00,app_open,paid,iOS,SC100030-140
E333,C100024,2024-01-24 09:47:00,savings_deposit,organic,Android,SC100024-111
E160,C100012,2024-01-24 13:39:00,pay,organic,Android,SC100012-53
E33,C100002,2024-01-26 09:38:00,topup,organic,Android,SC100002-11
E422,C100030,2024-01-27 03:03:00,signup,paid,Android,SC100030-140
E316,C100023,2024-01-27 11:04:00,app_open,paid,Android,SC100023-105
E276,C100021,2024-01-29 02:30:00,pay,campaign,Android,SC100021-92
E518,C100038,2024-01-29 02:31:00,app_open,organic,iOS,SC100038-172
E334,C100024,2024-01-31 18:02:00,savings_deposit,organic,Android,SC100024-111
E132,C100009,2024-02-01 00:44:00,activate,organic,Android,SC100009-44
E519,C100038,2024-02-01 00:55:00,app_open,organic,iOS,SC100038-173
E393,C100028,2024-02-01 09:45:00,app_open,organic,iOS,SC100028-131
E631,C100046,2024-02-02 19:36:00,signup,organic,iOS,SC100046-210
E231,C100017,2024-02-03 05:51:00,pay,organic,Android,SC100017-77
E477,C100035,2024-02-04 04:29:00,topup,organic,Android,SC100035-159
E357,C100025,2024-02-04 10:13:00,pay,paid,Android,SC100025-119
E423,C100030,2024-02-05 07:07:00,app_open,paid,iOS,SC100030-141
E622,C100045,2024-02-05 20:28:00,savings_deposit,paid,Android,SC100045-207
E379,C100027,2024-02-06 17:58:00,signup,paid,Android,SC100027-126
E277,C100021,2024-02-08 05:48:00,topup,campaign,Android,SC100021-92
E708,C100052,2024-02-08 11:12:00,signup,organic,iOS,SC100052-236
E879,C100063,2024-02-08 12:32:00,kyc_submit,organic,Android,SC100063-293
E152,C100011,2024-02-08 14:54:00,signup,paid,Android,SC100011-50
E2,C100000,2024-02-09 01:43:00,app_open,organic,iOS,SC100000-0
E623,C100045,2024-02-09 11:05:00,app_open,paid,iOS,SC100045-207
E693,C100051,2024-02-09 23:06:00,app_open,organic,Android,SC100051-231
E3,C100000,2024-02-10 04:20:00,signup,organic,iOS,SC100000-1
E495,C100036,2024-02-10 14:12:00,kyc_submit,campaign,Android,SC100036-165
E394,C100028,2024-02-10 15:03:00,kyc_submit,organic,iOS,SC100028-131
E817,C100060,2024-02-10 20:13:00,app_open,referral,iOS,SC100060-272
E543,C100040,2024-02-11 12:06:00,app_open,organic,iOS,SC100040-181
E502,C100037,2024-02-11 17:34:00,signup,paid,iOS,SC100037-167
E857,C100062,2024-02-11 17:47:00,app_open,organic,Android,SC100062-285
E755,C100055,2024-02-12 07:45:00,signup,organic,iOS,SC100055-251
E749,C100054,2024-02-13 06:29:00,bill_pay,paid,iOS,SC100054-249
E525,C100039,2024-02-13 13:09:00,app_open,referral,Android,SC100039-175
E624,C100045,2024-02-14 07:41:00,kyc_approved,paid,iOS,SC100045-208
E1144,C100080,2024-02-15 01:58:00,signup,referral,iOS,SC100080-381
E1116,C100078,2024-02-15 08:53:00,app_open,organic,iOS,SC100078-372
E83,C100006,2024-02-16 03:32:00,app_open,paid,Android,SC100006-27
E729,C100053,2024-02-16 14:55:00,pay,paid,Web,SC100053-243
E380,C100027,2024-02-16 23:54:00,app_open,paid,iOS,SC100027-126
E436,C100031,2024-02-18 10:34:00,signup,referral,iOS,SC100031-145
E460,C100032,2024-02-18 22:53:00,kyc_approved,paid,iOS,SC100032-153
E381,C100027,2024-02-19 07:43:00,signup,paid,iOS,SC100027-127
E880,C100063,2024-02-19 19:12:00,savings_deposit,organic,iOS,SC100063-293
