customer_id,signup_date,channel,region,age_group,gender,risk_segment,kyc_submit_date,kyc_approved_date,activate_date,card_activate_date
C100000,2024-01-01,organic,CanTho,25-34,M,low,,,,
C100001,2024-01-01,organic,CanTho,55+,M,medium,2024-01-07,2024-01-10,,
C100002,2024-01-01,organic,HCMC,35-44,F,medium,2024-01-03,2024-01-05,2024-01-05,
C100003,2024-01-01,organic,Hanoi,35-44,F,medium,2024-01-07,2024-01-09,2024-01-10,2024-01-10
C100004,2024-01-02,organic,Hanoi,18-24,M,high,,,,
C100005,2024-01-02,referral,Hanoi,35-44,F,high,,,,
C100006,2024-01-03,paid,Hanoi,35-44,Other,low,2024-01-05,2024-01-08,,
C100007,2024-01-03,paid,Hanoi,35-44,F,low,2024-01-05,2024-01-06,,
C100008,2024-01-03,organic,Hanoi,35-44,M,low,2024-01-07,2024-01-10,2024-01-11,2024-01-14
C100009,2024-01-04,organic,Hanoi,45-54,F,low,2024-01-06,2024-01-08,2024-01-12,2024-01-19
C100010,2024-01-06,paid,HCMC,35-44,F,medium,2024-01-10,2024-01-12,2024-01-15,
C100011,2024-01-06,paid,HCMC,35-44,F,medium,,,,
C100012,2024-01-06,organic,HCMC,25-34,M,low,2024-01-10,2024-01-13,2024-01-15,2024-01-19
C100013,2024-01-07,organic,CanTho,25-34,M,low,2024-01-13,2024-01-14,2024-01-14,
C100014,2024-01-07,paid,Hanoi,35-44,M,low,2024-01-07,2024-01-09,,
C100015,2024-01-07,campaign,Hanoi,45-54,M,medium,2024-01-08,2024-01-10,,
C100016,2024-01-08,organic,HaiPhong,35-44,M,high,,,,
C100017,2024-01-08,organic,HCMC,18-24,M,low,2024-01-10,2024-01-13,2024-01-16,
C100018,2024-01-09,paid,HCMC,25-34,F,low,,,,
C100019,2024-01-09,organic,HCMC,35-44,M,medium,,,,
C100020,2024-01-11,paid,CanTho,35-44,M,low,2024-01-13,2024-01-15,2024-01-16,
C100021,2024-01-11,campaign,Hanoi,45-54,M,low,2024-01-17,2024-01-20,2024-01-20,
C100022,2024-01-12,organic,HCMC,55+,F,high,2024-01-18,2024-01-21,2024-01-24,
C100023,2024-01-12,paid,HCMC,45-54,M,high,2024-01-13,2024-01-17,2024-01-17,2024-01-22
C100024,2024-01-13,organic,HCMC,35-44,M,low,2024-01-15,2024-01-18,2024-01-22,2024-01-27
C100025,2024-01-15,paid,CanTho,35-44,M,low,2024-01-18,2024-01-20,2024-01-24,2024-01-29
C100026,2024-01-15,campaign,HCMC,45-54,M,high,,,,
C100027,2024-01-17,paid,CanTho,18-24,F,high,,,,
C100028,2024-01-17,organic,DaNang,25-34,M,low,2024-01-22,2024-01-25,2024-01-28,2024-02-06
C100029,2024-01-17,organic,HaiPhong,18-24,F,low,2024-01-20,2024-01-24,2024-01-28,2024-02-04
C100030,2024-01-17,paid,Hanoi,35-44,M,medium,2024-01-23,2024-01-27,,
C100031,2024-01-17,referral,HCMC,45-54,F,low,2024-01-20,2024-01-21,2024-01-21,2024-01-27
C100032,2024-01-19,paid,Hanoi,18-24,M,low,2024-01-19,2024-01-20,2024-01-23,2024-01-26
C100033,2024-01-20,paid,CanTho,18-24,M,low,2024-01-20,2024-01-22,2024-01-26,
C100034,2024-01-20,referral,CanTho,25-34,M,low,2024-01-25,2024-01-28,2024-02-01,
C100035,2024-01-22,organic,HCMC,35-44,F,low,2024-01-23,2024-01-24,2024-01-28,2024-01-31
C100036,2024-01-22,campaign,Hanoi,25-34,M,low,2024-01-22,2024-01-26,2024-01-29,
C100037,2024-01-22,paid,DaNang,25-34,F,medium,2024-01-25,2024-01-29,2024-02-01,2024-02-06
C100038,2024-01-23,organic,HCMC,25-34,M,high,2024-01-26,2024-01-27,2024-01-30,2024-02-06
C100039,2024-01-23,referral,HCMC,25-34,M,low,2024-01-24,2024-01-28,2024-01-29,
C100040,2024-01-26,organic,HCMC,25-34,F,low,,,,
