txn_id,customer_id,txn_time,product,amount,fee,merchant_category,card_present,status,region,channel
T2,C100002,2024-01-08 14:59:00,transfer,10.74,0.02,other,True,COMPLETED,HCMC,organic
T58,C100010,2024-01-18 09:26:00,transfer,30.58,0.06,other,False,COMPLETED,HCMC,paid
T8,C100003,2024-01-18 15:12:00,transfer,28.77,0.06,health,False,COMPLETED,Hanoi,organic
T17,C100003,2024-01-23 14:34:00,transfer,23.3,0.05,food_delivery,True,COMPLETED,Hanoi,organic
T95,C100017,2024-01-23 19:16:00,pay,61.7,0.31,food_delivery,False,COMPLETED,HCMC,organic
T60,C100012,2024-01-26 18:25:00,bill_pay,44.23,0.13,fashion,True,COMPLETED,HCMC,organic
T234,C100029,2024-01-29 14:16:00,pay,51.93,0.26,health,False,COMPLETED,HaiPhong,organic
T201,C100025,2024-01-31 10:18:00,transfer,45.34,0.09,health,False,FAILED,CanTho,paid
T9,C100003,2024-01-31 17:00:00,savings,17.93,0.0,other,True,COMPLETED,Hanoi,organic
T193,C100025,2024-02-01 14:50:00,topup,25.68,0.03,other,True,COMPLETED,CanTho,paid
T251,C100032,2024-02-02 19:07:00,bill_pay,41.76,0.13,fashion,True,COMPLETED,Hanoi,paid
T223,C100029,2024-02-03 11:09:00,bill_pay,76.16,0.23,other,False,COMPLETED,HaiPhong,organic
T151,C100022,2024-02-04 11:19:00,savings,92.66,0.0,fashion,False,COMPLETED,HCMC,organic
T470,C100045,2024-02-04 13:43:00,pay,32.95,0.16,education,True,COMPLETED,CanTho,paid
T202,C100028,2024-02-05 19:18:00,savings,23.29,0.0,education,False,COMPLETED,DaNang,organic
T362,C100038,2024-02-06 15:41:00,pay,32.53,0.16,fashion,False,COMPLETED,HCMC,organic
T10,C100003,2024-02-08 09:13:00,pay,104.19,0.52,electronics,False,COMPLETED,Hanoi,organic
T23,C100008,2024-02-08 17:26:00,invest,25.79,0.01,health,False,COMPLETED,Hanoi,organic
T509,C100048,2024-02-09 13:01:00,pay,48.64,0.24,groceries,False,COMPLETED,HCMC,organic
T184,C100024,2024-02-11 12:02:00,savings,29.85,0.0,food_delivery,False,COMPLETED,HCMC,organic
T240,C100031,2024-02-11 14:42:00,pay,59.64,0.3,fashion,False,COMPLETED,HCMC,referral
T310,C100036,2024-02-11 14:57:00,bill_pay,70.81,0.21,fashion,False,COMPLETED,Hanoi,campaign
T385,C100039,2024-02-11 20:52:00,bill_pay,13.54,0.04,other,True,COMPLETED,HCMC,referral
T303,C100036,2024-02-13 14:19:00,savings,67.89,0.0,utilities,False,COMPLETED,Hanoi,campaign
T365,C100038,2024-02-13 14:50:00,pay,13.39,0.07,education,False,COMPLETED,HCMC,organic
T439,C100044,2024-02-15 16:24:00,bill_pay,78.3,0.23,health,False,COMPLETED,Hanoi,organic
T375,C100039,2024-02-16 11:20:00,transfer,30.13,0.06,food_delivery,False,COMPLETED,HCMC,referral
T242,C100031,2024-02-17 09:42:00,transfer,14.84,0.03,education,False,FAILED,HCMC,referral
T450,C100044,2024-02-17 11:08:00,savings,7.89,0.0,food_delivery,False,COMPLETED,Hanoi,organic
T294,C100035,2024-02-17 13:17:00,transfer,18.04,0.04,other,True,COMPLETED,HCMC,organic
T42,C100009,2024-02-17 14:57:00,invest,18.37,0.01,fashion,False,COMPLETED,Hanoi,organic
T456,C100045,2024-02-19 12:33:00,savings,17.39,0.0,entertainment,True,COMPLETED,CanTho,paid
T62,C100012,2024-02-19 15:47:00,pay,37.45,0.19,food_delivery,False,COMPLETED,HCMC,organic
T669,C100072,2024-02-20 19:07:00,bill_pay,30.9,0.09,food_delivery,False,COMPLETED,HCMC,organic
T657,C100068,2024-02-21 14:13:00,pay,12.88,0.06,groceries,True,COMPLETED,HCMC,organic
T757,C100081,2024-02-21 19:27:00,pay,17.46,0.09,entertainment,False,COMPLETED,HCMC,organic
T496,C100048,2024-02-22 12:02:00,transfer,14.82,0.03,electronics,True,COMPLETED,HCMC,organic
T203,C100028,2024-02-24 11:25:00,invest,68.22,0.03,food_delivery,True,COMPLETED,DaNang,organic
T389,C100042,2024-02-24 18:32:00,pay,42.3,0.21,health,False,COMPLETED,HCMC,organic
T270,C100033,2024-02-26 13:43:00,pay,22.21,0.11,entertainment,True,COMPLETED,CanTho,paid
