Employee_Name,total_orders,ontime_rate,avg_delivery_days,revenue
Adrienne,1,0.0,25.0,1421
Alaysha,1,0.0,,23921
Albertha,1,0.0,47.0,23055
Alessia,1,1.0,-2.0,8206
Alexia,2,0.5,78.5,124019
Alysha,1,0.0,,21003
Amelia,1,0.0,,21639
Anastasia,1,0.0,136.0,74222
Andrea,1,0.0,10.0,30192
Annamaria,1,0.0,,19804
Anne,2,0.0,184.0,14727
Ardis,1,0.0,,766
Arlene,1,0.0,202.0,85889
Artie,1,0.0,82.0,32031
Arya,1,0.0,,9520
Baldemar,1,0.0,290.0,99604
Bart,1,0.0,,86767
Benita,2,0.0,30.0,109411
Bernard,1,0.0,259.0,44807
Beth,2,0.5,17.5,162557
Bobby,1,1.0,-10.0,77063
Brenda,1,0.0,,39655
Brent,1,0.0,,27741
Bridgett,1,0.0,,48873
Bryce,3,0.0,197.0,177993
Carolyn,1,0.0,38.0,94926
Cecile,1,1.0,-6.0,28701
Cecilia,1,1.0,6.0,42143
Chasity,1,0.0,57.0,61325
Cheyenne,1,0.0,15.0,69113
Christa,1,0.0,169.0,45852
Christina,1,0.0,,28987
Claudia,1,1.0,-15.0,90449
Clay,2,0.0,135.0,126344
Coleman,1,0.0,89.0,24449
Cristina,1,0.0,18.0,80796
Crystal,1,1.0,-8.0,59474
Curtis,1,0.0,175.0,52868
Danielle,1,0.0,,73589
Danita,1,0.0,,36312
Danny,1,0.0,158.0,17035
David,2,0.0,141.0,92384
Dawn,2,0.0,118.5,113076
Debora,1,0.0,,3846
Dejon,1,1.0,-20.0,3951
Devon,1,0.0,,50374
Dianne,1,0.0,,45432
Donnell,1,0.0,,88037
Earle,1,0.0,,21813
Edith,1,0.0,58.0,38952
Eileen,1,0.0,,80901
Eldon,1,0.0,,74338
Elise,1,0.0,86.0,91842
Elliana,1,0.0,172.0,77649
Ely,1,0.0,,26060
Emma,1,0.0,,91926
Ericka,2,0.0,,71905
Felicity,1,0.0,281.0,10366
Frances,1,0.0,176.0,894
Francis,1,0.0,,806
Fred,1,0.0,192.0,56881
Freda,1,0.0,,20357
Frederick,1,0.0,31.0,57460
Gael,1,0.0,,88092
Gene,1,0.0,,35525
Genevieve,1,0.0,,62912
Gerald,1,0.0,,87886
Geraldine,1,0.0,,69417
Gray,1,0.0,,696
Guy,1,0.0,37.0,39234
Harriette,2,0.0,215.0,135342
Harvey,1,0.0,60.0,559
Heather,1,0.0,96.0,18598
Holli,1,0.0,231.0,41456
Hudson,1,0.0,,68923
Ilana,1,0.0,,312
Irby,1,0.0,,25677
Isabela,1,0.0,,51038
Jacquelin,1,1.0,-2.0,86132
Jaime,1,1.0,-21.0,59176
Jalen,2,0.0,188.0,113718
Jan,2,0.0,258.5,19411
Jana,1,0.0,103.0,56148
Jasmine,1,0.0,,16299
Jason,1,0.0,,51104
Jennie,1,0.0,,75766
Jennifer,1,0.0,63.0,3119
Jensen,2,0.0,155.0,35954
Joao,1,0.0,,66397
John,1,0.0,,84665
Johnnie,1,0.0,86.0,95516
Jonathan,1,0.0,,83102
Kaitlyn,2,0.0,45.0,43197
Karl,1,0.0,143.0,60282
Kathleen,1,0.0,25.0,80179
Kathryn,1,0.0,,99492
Katrice,1,0.0,34.0,73561
Kelli,1,0.0,,67599
Kelly,2,0.0,217.0,38904
Kenny,1,0.0,,37660
Kim,1,0.0,,10001
Kristie,1,0.0,,7068
Kyle,1,0.0,,76658
Latasha,1,0.0,,39488
Laurence,1,0.0,59.0,44299
Laverne,1,0.0,,50357
Lawrence,1,0.0,,69479
Lee,1,0.0,156.0,96496
Leighann,1,1.0,-4.0,42257
Leslie,1,0.0,,41003
Loren,1,0.0,,32800
Maeve,1,0.0,231.0,77861
Makala,1,0.0,,74930
Malie,1,0.0,,87400
Maria,1,0.0,26.0,83002
Marlene,1,0.0,63.0,12462
Matt,1,0.0,,35185
Matthew,1,0.0,26.0,78698
Michael,1,0.0,,33435
Milburn,1,0.0,,50635
Monica,1,0.0,15.0,34797
Morgan,1,0.0,59.0,15307
Muriel,1,0.0,105.0,1714
Nevaeh,1,0.0,,98982
Ora,1,0.0,,59967
Pamala,1,0.0,,19346
Pamela,1,0.0,,20187
Parth,1,0.0,152.0,11223
Peter,1,0.0,,78953
Raeleigh,1,0.0,50.0,24856
Ramona,2,0.0,101.0,74801
Rashawn,1,0.0,103.0,93642
Raul,1,0.0,,53868
Raven,1,0.0,,9691
Rayburn,2,0.0,,134531
Rebecca,1,0.0,,39001
Rita,1,0.0,,34832
Robert,2,0.0,46.5,118067
Rodney,1,0.0,,42210
Roger,1,0.0,202.0,2988
Ronnie,1,0.0,147.0,57138
Rosalind,1,0.0,,70814
Ryan,2,0.0,,58673
Ryker,2,0.0,,4151
Samual,1,0.0,,68886
Scott,2,0.5,2.0,64641
Selma,1,0.0,,21021
Seth,1,0.0,,48315
Sharyn,1,0.0,,59376
Shirley,1,0.0,179.0,99367
Stacy,1,0.0,146.0,59651
Stanley,2,0.5,91.0,111160
Stephan,1,1.0,5.0,58470
Stephania,1,1.0,1.0,27590
Stephanie,1,0.0,162.0,58736
Tammi,1,0.0,110.0,73423
Taron,1,0.0,245.0,47650
Tiffani,2,0.0,,125480
Tiffany,1,0.0,235.0,38290
Todd,1,0.0,,77342
Trent,1,0.0,211.0,21972
Trevon,1,0.0,143.0,67123
Twanna,1,0.0,,81148
Valencia,1,0.0,,77570
Valeria,1,0.0,,5059
Van,1,0.0,,2282
Wayne,1,0.0,,89389
Winnifred,1,0.0,,50958
Yasmeen,1,0.0,,66582
Yessenia,1,0.0,,52318
Zakariya,1,0.0,105.0,3244
Zelda,1,1.0,4.0,20238
Zella,1,0.0,,5769
Zoie,1,0.0,,67478
Zoya,1,0.0,254.0,83253
Zykeria,1,0.0,91.0,62528
