M_ID,total_orders,ontime_rate,avg_delivery_days,revenue
0,1,0.0,184.0,68227
10,1,0.0,,35525
17,1,0.0,245.0,47650
19,1,0.0,59.0,15307
20,1,0.0,,23921
30,1,0.0,,89846
31,1,0.0,234.0,49302
33,1,0.0,,39655
37,1,0.0,,21813
39,1,0.0,217.0,16690
43,1,0.0,,22214
48,1,0.0,,19386
52,1,0.0,,51038
69,1,0.0,,51284
74,1,1.0,-6.0,28701
77,1,0.0,162.0,58736
80,1,0.0,,84665
81,1,0.0,,70814
85,1,0.0,60.0,559
106,1,0.0,201.0,987
110,1,0.0,,51104
112,1,1.0,-3.0,48657
115,1,0.0,196.0,86040
121,1,0.0,,83102
130,1,1.0,4.0,20238
135,1,0.0,15.0,69113
136,1,0.0,135.0,27105
138,1,0.0,158.0,17035
142,1,0.0,51.0,73137
146,1,0.0,,69479
164,1,0.0,58.0,38952
169,1,0.0,,62912
174,1,0.0,,20357
186,1,0.0,231.0,77861
195,1,0.0,63.0,12462
198,1,0.0,37.0,39234
205,1,0.0,57.0,61325
209,1,0.0,254.0,83253
221,1,0.0,,21639
222,1,0.0,,67478
226,1,0.0,110.0,73423
233,1,1.0,1.0,27590
245,1,0.0,26.0,83002
247,1,0.0,,312
248,1,0.0,,88092
249,1,0.0,,78953
250,1,0.0,,39001
262,1,0.0,,26060
271,1,0.0,143.0,67123
275,1,0.0,,98982
277,1,0.0,,35369
278,1,0.0,,47111
279,1,0.0,,50635
301,1,0.0,,3725
310,1,0.0,,48873
311,1,0.0,188.0,63810
316,1,0.0,,99492
318,1,0.0,189.0,13693
327,1,0.0,,50374
330,1,0.0,72.0,87828
335,1,0.0,,68886
349,1,0.0,,696
351,1,0.0,194.0,73874
353,1,0.0,34.0,73561
356,1,0.0,,67599
357,1,0.0,105.0,3244
360,1,1.0,-16.0,89420
364,1,0.0,82.0,32031
366,1,0.0,,16299
370,1,0.0,,66582
379,1,0.0,,87886
384,1,0.0,,766
390,1,0.0,,73589
392,1,0.0,,5769
396,1,0.0,,3846
400,1,0.0,59.0,44299
401,1,0.0,230.0,1760
406,1,1.0,6.0,42143
407,1,0.0,,74338
410,1,0.0,25.0,80179
416,1,0.0,,66397
417,1,0.0,,74930
421,1,0.0,,59967
425,1,0.0,105.0,1714
426,1,0.0,,41003
435,1,0.0,,5059
446,1,0.0,,35634
450,1,0.0,86.0,95516
455,1,0.0,38.0,94926
456,1,0.0,,50958
457,1,0.0,101.0,39432
461,1,0.0,,33435
467,1,0.0,,13169
473,1,0.0,218.0,96963
491,1,0.0,169.0,45852
495,1,0.0,26.0,78698
500,1,0.0,290.0,99604
503,1,0.0,,10001
504,1,0.0,,7389
516,1,0.0,19.0,16113
527,1,0.0,235.0,38290
529,1,0.0,,20187
531,1,0.0,281.0,10366
536,1,0.0,160.0,75362
544,1,1.0,-2.0,86132
547,1,0.0,,45432
549,1,0.0,,86767
568,1,1.0,5.0,58470
574,1,0.0,,32800
576,1,0.0,136.0,74222
590,1,0.0,31.0,57460
595,1,0.0,,37660
596,1,0.0,,48315
597,1,0.0,37.0,23003
598,1,0.0,,7068
609,1,0.0,211.0,21972
614,1,0.0,,62151
617,1,0.0,,77570
623,1,0.0,103.0,93642
634,1,0.0,,24053
635,1,0.0,,89389
636,1,0.0,210.0,90380
638,1,0.0,179.0,99367
640,1,0.0,89.0,24449
646,1,0.0,,9691
650,1,0.0,152.0,11223
654,1,0.0,,53868
656,1,0.0,10.0,30192
657,1,0.0,192.0,56881
666,1,0.0,175.0,52868
671,1,0.0,172.0,77649
681,1,0.0,,19804
683,1,0.0,,39488
685,1,0.0,141.0,68331
690,1,0.0,,28987
694,1,0.0,50.0,24856
696,1,1.0,-8.0,59474
703,1,0.0,146.0,59651
704,1,0.0,,35185
705,1,0.0,,76658
713,1,0.0,53.0,20194
722,1,0.0,,806
731,1,1.0,2.0,51472
735,1,0.0,,58511
740,1,0.0,103.0,56148
751,1,0.0,,34832
752,1,0.0,,91926
754,1,0.0,30.0,47260
761,1,0.0,,99239
762,1,0.0,86.0,91842
767,1,0.0,259.0,44807
776,1,0.0,,50357
782,1,0.0,91.0,62528
784,1,0.0,231.0,41456
788,1,0.0,,77342
792,1,0.0,287.0,17651
795,1,0.0,,69417
800,1,1.0,-20.0,3951
804,1,0.0,,36312
805,1,1.0,-12.0,37286
808,1,0.0,,2282
817,1,0.0,,9520
820,1,0.0,,21021
826,1,1.0,-10.0,77063
830,1,0.0,121.0,22261
833,1,0.0,,42210
834,1,0.0,202.0,2988
844,1,0.0,,25677
847,1,0.0,,52318
863,1,0.0,,13394
867,1,0.0,15.0,34797
872,1,0.0,,81148
877,1,1.0,-4.0,42257
882,1,0.0,,87400
884,1,0.0,176.0,894
888,1,1.0,-2.0,8206
896,1,0.0,63.0,3119
897,1,0.0,,68923
898,1,0.0,167.0,13740
899,1,1.0,-21.0,59176
903,1,0.0,,49908
906,1,0.0,,88037
908,1,0.0,202.0,85889
912,1,0.0,,59376
914,1,0.0,21.0,30239
916,1,0.0,,80901
932,1,0.0,156.0,96496
944,1,0.0,25.0,1421
945,1,0.0,143.0,60282
948,1,0.0,,87420
953,1,0.0,18.0,80796
955,1,0.0,147.0,57138
969,1,1.0,-15.0,90449
972,1,0.0,,75766
973,1,0.0,47.0,23055
976,1,0.0,,27741
978,1,0.0,,21003
980,1,0.0,,19346
981,1,0.0,,426
988,1,0.0,96.0,18598
