Origin,total_orders,ontime_rate,cancel_rate,avg_delivery_days,revenue
0 Block of 6TH ST,1,0.0,1.0,,88037
0 Block of 7TH ST,1,0.0,1.0,,50374
0 Block of BROOKDALE AV,1,0.0,1.0,,26060
0 Block of CAMERON WY,1,0.0,0.0,160.0,75362
0 Block of CASTLEMANOR AV,1,0.0,1.0,,35369
0 Block of CUMBERLAND ST,1,0.0,1.0,,83102
0 Block of DORE ST,1,0.0,0.0,82.0,32031
0 Block of EUREKA ST,1,0.0,1.0,,87400
0 Block of GOLDEN GATE AV,1,0.0,1.0,,5769
0 Block of HARRISON ST,1,1.0,0.0,-3.0,48657
0 Block of LEE AV,1,1.0,0.0,-6.0,28701
0 Block of MYRTLE ST,1,1.0,0.0,-21.0,59176
0 Block of OFARRELL ST,1,0.0,0.0,89.0,24449
0 Block of PAYSON ST,1,0.0,0.0,63.0,3119
0 Block of POWELL ST,1,0.0,1.0,,68886
0 Block of STEINER ST,1,0.0,1.0,,76658
0 Block of TURK ST,1,0.0,1.0,,91926
0 Block of UNITEDNATIONS PZ,1,0.0,0.0,202.0,85889
0 Block of WHITFIELD CT,1,0.0,1.0,,9520
100 Block of BERRY ST,1,0.0,0.0,176.0,894
100 Block of BREWSTER ST,1,1.0,0.0,5.0,58470
100 Block of EDDY ST,1,0.0,0.0,152.0,11223
100 Block of FONT BL,1,0.0,0.0,37.0,39234
100 Block of GOLDEN GATE AV,1,0.0,0.0,230.0,1760
100 Block of HYDE ST,1,0.0,1.0,,39001
100 Block of LEAVENWORTH ST,1,0.0,0.0,175.0,52868
100 Block of MONTGOMERY ST,1,0.0,1.0,,49908
100 Block of NEWMONTGOMERY ST,1,0.0,1.0,,67599
100 Block of POWELL ST,2,0.5,0.0,50.5,101848
100 Block of STEUART ST,1,0.0,0.0,101.0,39432
100 Block of UPPER TR,1,0.0,1.0,,806
1000 Block of COLUMBUS AV,1,0.0,1.0,,75766
1000 Block of POTRERO AV,2,0.0,0.5,59.0,53990
1000 Block of SUTTER ST,1,0.0,1.0,,2282
1100 Block of CONNECTICUT ST,1,1.0,0.0,-10.0,77063
1100 Block of FRANCISCO ST,1,0.0,1.0,,23921
1100 Block of HUDSON AV,1,0.0,1.0,,70814
1100 Block of OCEAN AV,1,0.0,1.0,,42210
1100 Block of POLK ST,1,0.0,1.0,,62151
1200 Block of POLK ST,1,0.0,0.0,34.0,73561
1200 Block of THE EMBARCADERONORTH ST,1,0.0,1.0,,51284
1300 Block of 7TH AV,1,0.0,1.0,,39655
1300 Block of CALIFORNIA ST,1,0.0,1.0,,21021
1300 Block of REVERE AV,1,0.0,0.0,105.0,3244
1400 Block of 14TH AV,1,0.0,0.0,146.0,59651
1400 Block of DOUGLASS ST,1,0.0,0.0,50.0,24856
1400 Block of VANDYKE AV,1,0.0,0.0,31.0,57460
1500 Block of BAKER ST,1,0.0,0.0,103.0,56148
1500 Block of POLK ST,1,0.0,0.0,21.0,30239
15TH ST / SANCHEZ ST,1,0.0,0.0,184.0,68227
1600 Block of 39TH AV,1,0.0,1.0,,48873
1600 Block of DONNER AV,1,0.0,1.0,,41003
1600 Block of VANNESS AV,1,0.0,0.0,19.0,16113
16TH ST / MISSOURI ST,1,0.0,1.0,,5059
16TH ST / UTAH ST,1,0.0,1.0,,84665
1700 Block of 25TH ST,1,0.0,0.0,172.0,77649
1700 Block of FULTON ST,2,0.0,0.5,72.0,168976
1700 Block of NEWCOMB AV,1,0.0,0.0,38.0,94926
1700 Block of SUNNYDALE AV,1,0.0,0.0,15.0,34797
17TH ST / FOLSOM ST,1,0.0,0.0,58.0,38952
1800 Block of 26TH ST,1,0.0,0.0,234.0,49302
1800 Block of 8TH AV,1,0.0,1.0,,35525
1800 Block of DONNER AV,1,0.0,0.0,211.0,21972
1800 Block of KIRKHAM ST,1,0.0,0.0,30.0,47260
1900 Block of WASHINGTON ST,1,0.0,1.0,,27741
19TH ST / SHOTWELL ST,1,0.0,1.0,,59967
200 Block of 11TH AV,1,0.0,1.0,,28987
200 Block of 2ND ST,1,0.0,1.0,,78953
200 Block of BERRY ST,1,0.0,1.0,,99239
200 Block of CHENERY ST,1,0.0,1.0,,53868
200 Block of HAHN ST,1,0.0,0.0,188.0,63810
200 Block of KING ST,1,0.0,1.0,,88092
200 Block of MISSOURI ST,1,0.0,0.0,259.0,44807
200 Block of SCOTT ST,1,0.0,1.0,,3725
200 Block of TURK ST,1,0.0,1.0,,87420
2000 Block of MISSION ST,3,0.0,0.6666666666666666,169.0,106357
20TH ST / KANSAS ST,1,0.0,0.0,59.0,15307
2100 Block of 16TH AV,1,1.0,0.0,6.0,42143
2100 Block of MISSION ST,1,0.0,1.0,,77342
21ST ST / POTRERO AV,1,1.0,0.0,-4.0,42257
22ND ST / CAROLINA ST,1,0.0,1.0,,35185
2300 Block of 14TH AV,1,1.0,0.0,-8.0,59474
2300 Block of 25TH AV,1,0.0,1.0,,312
2300 Block of CHESTNUT ST,1,1.0,0.0,4.0,20238
2400 Block of MISSION ST,1,0.0,1.0,,51038
2500 Block of MISSION ST,1,0.0,0.0,156.0,96496
2600 Block of 18TH ST,1,0.0,0.0,143.0,60282
2600 Block of ALEMANY BL,1,0.0,0.0,26.0,78698
2900 Block of TURK ST,1,1.0,0.0,-16.0,89420
300 Block of ATHENS ST,1,0.0,0.0,179.0,99367
300 Block of BUCHANAN ST,1,0.0,0.0,147.0,57138
300 Block of CHENERY ST,1,0.0,1.0,,99492
300 Block of COLLINGWOOD ST,1,0.0,1.0,,89389
300 Block of OFARRELL ST,1,0.0,0.0,254.0,83253
300 Block of SALINAS AV,1,1.0,0.0,1.0,27590
3100 Block of 23RD ST,1,0.0,0.0,25.0,80179
3300 Block of 22ND ST,1,0.0,0.0,105.0,1714
3300 Block of BALBOA ST,1,0.0,0.0,218.0,96963
3600 Block of 22ND ST,1,0.0,1.0,,25677
3600 Block of SACRAMENTO ST,1,0.0,0.0,86.0,91842
37TH AV / RIVERA ST,1,0.0,1.0,,69479
3800 Block of MISSION ST,1,0.0,1.0,,16299
3RD AV / BALBOA ST,1,0.0,1.0,,37660
400 Block of ELLIS ST,2,0.0,1.0,,145278
400 Block of GENEVA AV,1,0.0,1.0,,10001
400 Block of LEAVENWORTH ST,1,0.0,1.0,,19804
400 Block of TURK ST,1,0.0,1.0,,67478
4000 Block of 18TH ST,1,0.0,1.0,,68923
4000 Block of GEARY BL,1,0.0,0.0,201.0,987
4200 Block of 26TH ST,1,0.0,0.0,96.0,18598
4TH ST / HARRISON ST,1,1.0,0.0,-12.0,37286
500 Block of 41ST AV,1,0.0,0.0,143.0,67123
500 Block of HOWARD ST,1,0.0,1.0,,34832
500 Block of HYDE ST,1,0.0,0.0,135.0,27105
500 Block of JOHNFKENNEDY DR,1,0.0,0.0,217.0,16690
500 Block of STEVENSON ST,1,0.0,0.0,189.0,13693
500 Block of TUNNEL AV,1,0.0,1.0,,45432
500 Block of VALENCIA ST,1,0.0,0.0,141.0,68331
5600 Block of DIAMONDHEIGHTS BL,1,0.0,1.0,,98982
5TH ST / MARKET ST,1,0.0,1.0,,20187
5TH ST / MISSION ST,1,0.0,0.0,110.0,73423
600 Block of FRANCISCO ST,1,0.0,1.0,,48315
600 Block of GOETTINGEN ST,1,0.0,0.0,287.0,17651
600 Block of VALENCIA ST,1,0.0,0.0,202.0,2988
6500 Block of 3RD ST,1,1.0,0.0,-15.0,90449
700 Block of 3RD ST,1,0.0,1.0,,62912
700 Block of BATTERY ST,1,0.0,0.0,194.0,73874
700 Block of FOLSOM ST,1,0.0,0.0,25.0,1421
700 Block of HOWARD ST,1,0.0,1.0,,35634
700 Block of MARKET ST,2,0.0,1.0,,90592
700 Block of STANYAN ST,1,1.0,0.0,2.0,51472
700 Block of VANNESS AV,1,0.0,0.0,192.0,56881
800 Block of 30TH AV,1,0.0,1.0,,20357
800 Block of 47TH AV,1,1.0,0.0,-2.0,86132
800 Block of BRYANT ST,8,0.0,0.5,93.0,429646
800 Block of GENEVA AV,1,0.0,1.0,,24053
800 Block of INGERSON AV,1,0.0,1.0,,87886
800 Block of MARKET ST,3,0.0,1.0,,148251
900 Block of CONNECTICUT ST,1,0.0,0.0,162.0,58736
900 Block of ELLSWORTH ST,1,0.0,0.0,231.0,77861
900 Block of LARKIN ST,1,0.0,1.0,,32800
900 Block of THE EMBARCADERO NORTH ST,1,0.0,1.0,,3846
BARTLETT ST / 21ST ST,1,0.0,0.0,231.0,41456
BARTLETT ST / 23RD ST,1,0.0,1.0,,69417
BELVEDERE ST / WALLER ST,1,0.0,0.0,86.0,95516
BLAKE ST / GEARY BL,1,0.0,0.0,37.0,23003
BRYANT ST / 4TH ST,1,0.0,1.0,,21639
CALIFORNIA ST / DAVIS ST,1,0.0,0.0,18.0,80796
CAPP ST / 17TH ST,1,0.0,0.0,121.0,22261
CLARA ST / 4TH ST,1,0.0,0.0,57.0,61325
DIVISADERO ST / JACKSON ST,1,0.0,0.0,158.0,17035
EARL ST / LASALLE AV,1,0.0,1.0,,50357
ELLIS ST / LAGUNA ST,1,0.0,1.0,,19386
EXECUTIVEPARK BL / ALANA WY,1,0.0,0.0,15.0,69113
FILLMORE ST / OFARRELL ST,1,0.0,0.0,51.0,73137
FREMONT ST / HARRISON ST,1,0.0,0.0,281.0,10366
GEARY ST / HYDE ST,1,0.0,0.0,60.0,559
GEARY ST / POLK ST,1,0.0,1.0,,36312
HARRISON ST / 11TH ST,1,0.0,0.0,63.0,12462
HOLLOWAY AV / BRIGHTON AV,1,0.0,0.0,136.0,74222
KEITH ST / SHAFTER AV,1,0.0,1.0,,50635
KEITH ST / THOMAS AV,1,0.0,1.0,,766
LAKE MERCED BL / BROTHERHOOD WAY,1,0.0,1.0,,21813
LARKIN ST / ELLIS ST,1,0.0,0.0,290.0,99604
LASALLE AV / PHELPS ST,1,0.0,1.0,,66397
LEAVENWORTH ST / TURK ST,1,0.0,1.0,,33435
LYON ST / OFARRELL ST,1,0.0,1.0,,13169
MARKET ST / CHURCH ST,1,0.0,1.0,,22214
MARTIN LUTHER KING JR DR / 9TH AV,1,0.0,1.0,,696
MINNA ST / 5TH ST,1,0.0,0.0,235.0,38290
NATOMA ST / 2ND ST,1,0.0,1.0,,59376
PIERCE ST / LOMBARD ST,1,0.0,0.0,47.0,23055
POLK ST / BEACH ST,1,1.0,0.0,-20.0,3951
POLK ST / SUTTER ST,1,0.0,0.0,53.0,20194
POWELL ST / GEARY ST,1,0.0,1.0,,7068
SHOTWELL ST / 17TH ST,1,0.0,0.0,196.0,86040
SILLIMAN ST / BOWDOIN ST,1,0.0,1.0,,426
SOUTH VAN NESS AV / 13TH ST,1,0.0,1.0,,19346
STOCKTON ST / BROADWAY ST,1,0.0,0.0,210.0,90380
