Date,Status,orders
1971-02-06,NOT DELIVERED,1
1971-04-23,DELIVERED,1
1972-02-21,NOT DELIVERED,1
1972-06-10,DELIVERED,1
1972-10-09,NOT DELIVERED,1
1973-09-05,NOT DELIVERED,1
1974-03-26,DELIVERED,1
1974-05-08,NOT DELIVERED,1
1975-03-04,NOT DELIVERED,1
1975-04-01,NOT DELIVERED,1
1975-05-18,DELIVERED,1
1975-07-03,NOT DELIVERED,1
1976-03-31,DELIVERED,1
1976-04-29,NOT DELIVERED,1
1976-05-11,NOT DELIVERED,1
1976-06-06,DELIVERED,1
1976-10-04,NOT DELIVERED,1
1977-01-03,DELIVERED,1
1977-01-05,NOT DELIVERED,1
1977-03-08,DELIVERED,1
1977-03-08,NOT DELIVERED,1
1977-03-26,DELIVERED,1
1977-04-21,DELIVERED,1
1977-06-26,DELIVERED,1
1977-09-19,NOT DELIVERED,1
1978-03-21,NOT DELIVERED,1
1979-01-20,DELIVERED,1
1979-01-28,NOT DELIVERED,1
1979-05-13,NOT DELIVERED,1
1979-07-03,NOT DELIVERED,1
1980-03-01,DELIVERED,1
1980-05-03,NOT DELIVERED,1
1980-07-05,NOT DELIVERED,1
1980-10-07,NOT DELIVERED,1
1981-07-23,NOT DELIVERED,1
1981-11-03,NOT DELIVERED,1
1982-02-06,DELIVERED,1
1982-05-18,NOT DELIVERED,1
1982-06-10,DELIVERED,1
1982-07-11,DELIVERED,1
1982-12-02,NOT DELIVERED,1
1983-01-28,DELIVERED,1
1983-04-11,DELIVERED,1
1983-04-17,NOT DELIVERED,1
1983-07-05,NOT DELIVERED,1
1983-08-21,NOT DELIVERED,1
1984-01-04,NOT DELIVERED,1
1984-04-02,NOT DELIVERED,1
1985-01-10,DELIVERED,1
1986-05-19,NOT DELIVERED,1
1986-09-07,NOT DELIVERED,1
1987-01-15,DELIVERED,1
1987-03-06,DELIVERED,1
1987-03-19,DELIVERED,1
1987-05-07,NOT DELIVERED,1
1987-10-25,NOT DELIVERED,1
1988-04-05,NOT DELIVERED,1
1989-01-02,NOT DELIVERED,1
1989-01-03,DELIVERED,1
1989-01-06,DELIVERED,1
1989-03-29,DELIVERED,1
1989-10-12,DELIVERED,1
1990-02-21,DELIVERED,1
1990-10-11,NOT DELIVERED,1
1991-02-10,DELIVERED,1
1991-02-18,DELIVERED,1
1991-06-30,DELIVERED,1
1992-03-22,NOT DELIVERED,1
1992-05-10,DELIVERED,1
1992-08-11,DELIVERED,1
1992-08-26,DELIVERED,1
1993-01-04,DELIVERED,1
1993-03-06,NOT DELIVERED,1
1993-04-25,NOT DELIVERED,1
1993-07-09,NOT DELIVERED,1
1993-08-14,NOT DELIVERED,1
1994-01-15,NOT DELIVERED,1
1994-03-30,DELIVERED,1
1995-01-05,DELIVERED,1
1995-01-22,DELIVERED,1
1995-07-26,NOT DELIVERED,1
1995-08-20,NOT DELIVERED,1
1995-11-26,NOT DELIVERED,1
1996-01-01,NOT DELIVERED,1
1996-02-09,DELIVERED,1
1996-03-03,DELIVERED,1
1996-07-06,NOT DELIVERED,1
1996-09-21,NOT DELIVERED,1
1996-12-09,NOT DELIVERED,1
1997-01-05,DELIVERED,1
1997-01-20,DELIVERED,1
1997-05-29,NOT DELIVERED,1
1997-06-14,DELIVERED,1
1997-08-27,NOT DELIVERED,1
1998-02-21,DELIVERED,1
1999-01-28,NOT DELIVERED,1
1999-02-07,DELIVERED,1
2000-01-25,DELIVERED,1
2000-06-18,NOT DELIVERED,1
2001-01-27,DELIVERED,1
2001-04-29,DELIVERED,1
2001-08-31,NOT DELIVERED,1
2002-01-25,DELIVERED,1
2002-02-03,DELIVERED,1
2002-05-28,DELIVERED,1
2002-08-31,DELIVERED,1
2003-01-07,NOT DELIVERED,1
2003-05-10,NOT DELIVERED,1
2003-05-18,DELIVERED,1
2003-09-23,NOT DELIVERED,1
2003-10-25,DELIVERED,1
2004-02-29,NOT DELIVERED,1
2004-03-18,DELIVERED,1
2004-03-20,DELIVERED,1
2004-03-20,NOT DELIVERED,1
2004-05-02,DELIVERED,1
2004-05-29,DELIVERED,1
2004-07-07,DELIVERED,1
2004-07-30,NOT DELIVERED,1
2004-08-30,NOT DELIVERED,1
2004-09-10,NOT DELIVERED,1
2004-09-28,NOT DELIVERED,1
