order_date,order_id,pickup_district,dropoff_district,distance,parent_service_id,hour,service,pooling_internal,total_pooling,region,label,driver_fee,first_pooling,last_pooling,cod,partner_fee,buoi,weekday_number,demand
7/18/2025,25F7L7TT,Quận Hai Bà Trưng,Quận Hà Đông,14.41,HAN-SAMEDAY-INTERNAL,10,SAMEDAY,3,3,HAN,INTERNAL,31798.2,26,92,140000,32000,morning,6,62
7/18/2025,25GOSZ2J,Quận Long Biên,Quận Hoàn Kiếm,4.71,HAN-SAMEDAY-INTERNAL,8,SAMEDAY,3,3,HAN,INTERNAL,23966,4,48,0,23000,morning,6,44
7/18/2025,25ROFAPU,Quận Nam Từ Liêm,Quận Nam Từ Liêm,7.85,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,37186.67,4,4,0,25000,morning,6,81
7/18/2025,25OAIKPP,Quận Long Biên,Quận Hà Đông,15.31,HAN-POOL,16,SAMEDAY,2,3,HAN,POOL,76000,2,85,0,47000,afternoon,6,26
7/18/2025,25PDWCKX,Quận Hai Bà Trưng,Quận Nam Từ Liêm,9.52,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,2,2,HAN,INTERNAL,25392,4,24,0,24000,morning,6,50
7/18/2025,251HFWTH,Quận Thanh Xuân,Quận Hoàn Kiếm,8.5,HAN-SAMEDAY-INTERNAL,10,SAMEDAY,5,5,HAN,INTERNAL,35147.6,2,96,550000,25000,morning,6,46
7/18/2025,25AYPMY7,Quận Long Biên,Quận Hà Đông,14.98,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,3,3,HAN,INTERNAL,30856,10,78,0,33000,morning,6,61
7/18/2025,258IOWSI,Quận Hoàng Mai,Quận Hà Đông,6.88,HAN-SAMEDAY-INTERNAL,8,SAMEDAY,1,1,HAN,INTERNAL,28160.8,10,10,0,25000,morning,6,72
7/18/2025,25L6GQ4E,Quận Hoàng Mai,Quận Thanh Xuân,8.86,HAN-SAMEDAY-INTERNAL,9,SAMEDAY,1,1,HAN,INTERNAL,44312,5,5,0,25000,morning,6,105
7/18/2025,250M67DI,Quận Thanh Xuân,Quận Hai Bà Trưng,7.49,,9,SAMEDAY,5,5,,,,19,99,0,25000,morning,6,52
7/18/2025,2527SOOZ,Quận Hà Đông,Quận Bắc Từ Liêm,9.92,,10,SAMEDAY,5,5,,,,8,82,0,25000,morning,6,99
7/18/2025,25IOZHSK,Quận Đống Đa,Quận Long Biên,11.96,,15,SAMEDAY,0,0,,,,,,0,41000,afternoon,6,47
7/18/2025,255MYH00,Quận Hà Đông,Quận Cầu Giấy,10.06,,9,SAMEDAY,0,0,,,,,,329000,32000,morning,6,89
